Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,Universite Adi,Universite Turu,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Turu,Lise Bolumu,Lise Bolum Diger,Lise Mezuniyet Notu,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Hangi STK'nin Uyesisiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",id
2022,66.0,Kadın,22.10.2001 00:00,Kocaeli,Kocaeli,Ege Üniversitesi,Devlet,,Hayır,Tıp,4,3.50 - 4.00,,Yücel Boru Fen Lisesi,,Kocaeli,Devlet,Sayısal,,75 - 100,Evet,Rumeli Türkleri Kültür ve Dayanışma Derneği,0 - 499₺,Lise,Hayır,-,Lise,Evet,Özel Sektör,1.0,Evet,,Evet,Bireysel,Evet,Okulumda bu sene gönüllü olarak ulusal bir topluluk olan Türk Tıp Öğrencileri'nin Ege topluluğunda başkanlık yaptım.Ayrıca gönüllü olarak okulumun çocuk hastanesinde hasta çocukları ziyaret ederek onlarla oyun oynuyorum bir nebze olsun onları mutlu etmek istiyorum.,,Evet,Savaş mağduru ve eğitime ulaşamayan çocuklar için eğitici videolar hazırlayan bir girişim olan kesintisiz eğitim projesinin içerik oluşturma ekibindeydim.,Evet,,,57513
2022,66.0,Kadın,1.10.2001 00:00,Şanlıurfa,İstanbul,İstanbul Medeniyet Üniversitesi,Devlet,,Hayır,Tıp,5,3.50 - 4.00,,Şanlıurfa Tobb fen lisesi,,Şanlıurfa,Devlet,Sayısal,,75 - 100,Hayır,togg,0 - 499₺,İlkokul,Hayır,-,Ortaokul,Evet,Özel Sektör,4.0,Evet,,Evet,Bireysel,Evet,togg ile sma lı çocuklara yardım fonunda bulundum imu nadir hastalıkları ile 41. istanbul maratonuna katıldım ve nadir hastalıklar hakkında halkı bilinçlendirdim kanser hastası çocukları çapada ziyaret ettik hediyeler verdik,,Evet,köy okullarına kütüphane kurma girişimi,Evet,,,57514
2022,66.0,Erkek,10.02.2002 00:00,Diyarbakır,Ankara,Ankara Üniversitesi,Devlet,,Hayır,Tıp,2,3.50 - 4.00,,MEF lisesi (%100 burslu),,İstanbul,Özel,Sayısal,,75 - 100,Hayır,-,-,Lise,Hayır,-,Üniversite,Hayır,-,1.0,Evet,,Evet,Lider/Kaptan,Evet,"Okulun “Genç Yeryüzü Doktorları” üyesiyim. Buna ek olarak okul klüpleri ile hasta çocuklara yardım, çocuk istismarı konusunda farkındalık yaratma, kıyı temizliği, şizofreni tanısı konmuş hastalara destek için düzenlenen etkinliklerde görev aldım.",,Evet,"Bilimsel araştırma klübü olarak sürekli kongre, seminer, ameliyathane günleri gibi etkinlikler düzenliyoruz. Klüp ile Sağlık ve Teknoloji sektöründeki gelişmeler üzerine olan “MEDCON” zirvesinin organizasyonunda görev aldık. Tıp fakültesini seçerken asıl hedefim göz hastalıklarına yeni tedavi yöntemleri geliştirmekti, bu alandaki tanı ve tedavilerin çoğu teknolojik aletler sayesinde yapılmakta, bu yüzden göz hastalıkları alanında tanı ve tedavi yöntemlerini geliştirecek bir proje girişimi üzerinde çalışmayı planlıyorum.",Evet,,,57515
2022,66.0,Erkek,23.08.2002 00:00,Malatya,İstanbul,Boğaziçi Üniversitesi,Devlet,,Hayır,Elektrik-Elektronik Mühendisliği,2,3.50 - 4.00,,Malatya Fen Lisesi,,Malatya,Devlet,Sayısal,,75 - 100,Evet,TEV,1000₺ ve üstü,Üniversite,Evet,Kamu,Yüksek Lisans,Evet,Kamu,2.0,Evet,,Evet,Lider/Kaptan,Evet,"Okulumuzun köklü kulüplerinden biri olan Boğaziçi Üniversitesi Elektroteknoloji Kulübü ve IEEE Öğrenci Kolu'nda 3. seneme girmiş bulunuyorum. Burada gönüllü olarak kariyer, teknoloji ve sosyal sorumluluk projeleri düzenliyoruz ve geçtiğimiz sene başkan yardımcılığı görevini üstlenerek katkı yapmaya çalıştığım kulübümüze bu sene de başkan olarak elimden gelen katkıyı göstermeye çalışacağım.",,Evet,"Hem lisede hem de üniversitede çok temel seminer ve eğitimlere katılarak girişimciliğin temellerini öğrenmeye başladım. Ayrıca bir girişim destekleme projesine yardımcı olmak amacıyla 1 senedir projede iş yönetme, marketing ve medya ekiplerinde çalışıyorum.",Evet,,,57516
2022,66.0,Kadın,1.01.1998 00:00,Ankara,İstanbul,Boğaziçi Üniversitesi,Devlet,,Hayır,Siyaset Bilimi ve Uluslararası İlişkiler,3,3.50 - 4.00,,N,,Ankara,Devlet,Eşit Ağırlık,,75 - 100,Hayır,-,-,Üniversite,Evet,Kamu,Üniversite,Evet,Kamu,1.0,Evet,,Evet,Lider/Kaptan,Evet,gönüllü deneyim,,Evet,girişimcilik deneyimi,Evet,,,57517
2022,65.0,Kadın,14.06.2000 00:00,Konya,İstanbul,Boğaziçi Üniversitesi,Devlet,,Hayır,İşletme,4,3.50 - 4.00,,Konya Meram Fen Lisesi,,Konya,Devlet,Eşit Ağırlık,,75 - 100,Hayır,-,-,İlkokul,Hayır,-,Lise,Hayır,-,2.0,Evet,,Evet,Takım Oyuncusu,Evet,"2015'ten 2020'ye kadar aktif olarak YGA'da gönüllü sorumluluk aldım. Dezavantajlı bölgelerdeki çocuklar, görme engelliler ya da mültecilerle bilim workshoplarından, şimdilerde 1.5 m pound yatırım alan TWIN'in kuruluşuna ve binlerce kişinin katılımıyla gerçekleşen YGA Zirvesinin organizasyonuna kadar birçok şeye çok yakında tanıklık edip büyük sorumluluklarla epey knowhow edindim. Aktif olmasa da halen ihtiyaç dahilinde destek atıyorum :)",,Evet,imeceLab x Hollanda Başkonsolosluğu iş birliğiyle gerçekleşen urban mobility konulu girişimcilik yarışmasında takımımla beraber birinci seçilerek Amsterdam A-Lab'te eğitim aldık. Döndüğümüzde ilerledik fakat pandemi dolayısıyla sonlandırmak zorunda kaldık.,Evet,,,57518
2022,65.0,Kadın,18.10.2001 00:00,Mersin,İstanbul,Boğaziçi Üniversitesi,Devlet,,Hayır,Turizm İşletmeciliği,3,3.50 - 4.00,,Mersin Yahya Akel Fen Lisesi,,Mersin,Devlet,Eşit Ağırlık,,75 - 100,Hayır,-,-,Lise,Hayır,-,Lise,Hayır,-,1.0,Evet,,Evet,Takım Oyuncusu,Evet,Liseden itibaren keyifle çeşitli gönüllülük deneyimleri kazandım ve kazanmaya da devam ediyorum. Lisede 3 yıl boyunca Türkiye Alzheimer Derneğinde etkinlik asistanlığı ve organizatörlük görevlerini üstlendim ve Alzheimer hastalığı hakkında toplumda bilinç kazandırmak için etkinlikler düzenledik. AIESEC Türkiyede 1 yıl takım liderliği yaptım ve farklı kültürleri deneyimleme şansı elde ettim. 8 aydır da sosyal yardım-blochchain projesi olan Uçurtma'da iş geliştirme ve pazarlama ekip üyesiyim.,,Evet,"Öğrencilik yıllarımdan itibaren hem deneyim kazanmak hem de farklı departmanları tecrübelemek adına start-uplarda çeşitli görevler aldım. Bu deneyimlerim sayesinde girişimcilik ekosistemini, giriş seviyesindeki fikirlerin gelişim sürecini, yatırım sürecini yakından tanıma şansı elde ettim. Ayrıca üniversitemde Launching a Successful Start-up adında teorik bir ders alarak da çok tecrübeli bir kurucudan girişimciliğin temel esasları hakkında değerli bilgiler edinme şansım oldu.",Evet,,,57519
2022,65.0,Kadın,24.09.2003 00:00,Mardin,Edirne,Trakya Üniversitesi,Devlet,,Hayır,İngilizce Öğretmenliği,2,3.50 - 4.00,,Kızıltepe Anadolu lisesi,,Mardin,Devlet,Dil,,75 - 100,Hayır,-,-,İlkokul,Hayır,-,İlkokul,Evet,Özel Sektör,3.0,Evet,,Evet,Bireysel,Evet,Düzenli olarak ızılaya kan bağışında bulunuyorum ve Kızılay da yardım faliyetine katıldım. Üniversitenin sosyal sorumluluk kulübünde aktif olarak yer alıyorum.,,Evet,Ortaokulda TÜBİTAK için proje hazırlamıştım.,Evet,,,57520
2022,65.0,Kadın,11.10.2001 00:00,Ankara,İzmir,Dokuz Eylül Üniversitesi,Devlet,,Hayır,Hukuk,3,3.50 - 4.00,,Kartal Anadolu İmamhatip Lisesi,,İstanbul,Devlet,Eşit Ağırlık,,75 - 100,Evet,Kyk,500₺ - 999₺,Lise,Hayır,-,Üniversite,Evet,Kamu,2.0,Evet,,Evet,Bireysel,Evet,"Kızılay, umuda koşanlar derneği",,Evet,Lisedeyken kendi fıstık ve fındık ezmemi yapıp satmaya başlamıştım bu şekilde aylık ihtiyacımı karşılamıştım.,Evet,,,57521
2022,65.0,Erkek,16.12.2001 00:00,Bitlis,İstanbul,Marmara Üniversitesi,Devlet,,Hayır,Özel Eğitim Öğretmenliği,3,3.50 - 4.00,,Tatvan Anadolu Lisesi,,Bitlis,Devlet,Sözel,,75 - 100,Evet,KYK,500₺ - 999₺,Eğitimi yok,Hayır,-,Ortaokul,Evet,Diğer,4.0,Evet,,Evet,Bireysel,Evet,"Tohum Otizm Vakfı, Tolkido, Tog, Maya vakfı kurumlarında gönüllülük yapmaktayım. Ayrıca okulun özel eğitim topluluğunda aktif görev almaktayım. Ve girişimcilik kulübünde de üyeliğim var. Gönüllülük benim için çok önemli bir değer ve bu sebeple gönüllü olduğum kuruluşlarda aldığım görevleri hakkıyla yerine getirmeye gayret ediyorum.",,Evet,Türkiye-AB İklim Elçileri 'Geç Olmadan' programı kapsamında grupça bir proje sunduk ve bunun neticesinde ben ve grup arkadaşlarım iklim elçisi olmaya hak kazandık.,Evet,,,57522
2022,65.0,Kadın,16.05.1998 00:00,Sivas,İstanbul,Özyeğin Üniversitesi,Özel,,Evet,Psikoloji,2,3.50 - 4.00,,Sivas Fen Lisesi,,Sivas,Devlet,Eşit Ağırlık,,75 - 100,Evet,Okulum Özyeğin Üniversitesinden başarı bursu alıyorum. KYK kredisi de almaktayım ancak öncesinde başka bir okulda okurken bırakıp tekrar hazırlandığım için kredim Ocak ayında kesilecek.,1000₺ ve üstü,Lise,Evet,Kamu,Lise,Evet,Özel Sektör,1.0,Evet,,Evet,Bireysel,Evet,Çorbada Tuzun Olsun derneğinde sokakta yaşayan insanlara yemek dağıtımında yardımcı oldum. Zaman buldukça da devam etmek istiyorum. Okulumuzun aktif olarak çalıştığım sosyal sorumluluk kulübü olan Toplumsal Çatı Kulübü'nde daha çok dezavantajlı çocukların eğitim gördüğü bir okul olan Nişantepe İlkokulu ile uçurtma atölyesi yaptık. Okulumuzun Çocuk Gelişim ve Öğrenme Laboratuvarında yürütülen bir araştırma için anaokullarında çocuklarla çalışarak veri toplanmasında ve işlenmesinde yardımcı oldum.,,Evet,"YetGen'de aldığımız girişimcilik eğitimi sonrası süreç olan GirişGen'de kendi girişim fikrimi geliştirdim ve girişimin sunumunu yaptım. Bu süreç benim için çok faydalı oldu. Fikir geliştirme, pazar araştırması, iş modeli canvasları gibi birçok konuda bilgi edindim. Burada geliştirdiğim fikir üzerine çalışmayı ve gerçekten de hayata geçirmeyi istiyorum.",Evet,,,57523
2022,65.0,Kadın,19.05.2001 00:00,İstanbul,İzmir,Boğaziçi Üniversitesi,Devlet,,Hayır,Ekonomi,3,3.00 - 3.49,,Özel Günhan Anadolu Lisesi,,İstanbul,Özel,Eşit Ağırlık,,75 - 100,Hayır,-,-,Üniversite,Hayır,-,Üniversite,Hayır,-,1.0,Evet,,Evet,Takım Oyuncusu,Evet,"""Aynı Dili Konuşalım"" adında maddi durumu yetersiz ve dil öğrenme konusunda motivasyonu yüksek öğrencilere birçok farklı yabancı dili interaktif, canlı ve ücretsiz olarak öğretmeyi amaçladığımız gönüllülük projesinin iki kurucu ortağından biriyim. Son 1-1,5 yıldır çok yoğun bir şekilde projemizin fikirsel, teknik, iletişimsel, yönetimsel tüm süreçlerinde aktif olarak yer alıyorum. Bunun yanı sıra, ""Düşlerim Gerçekleşiyor""da dezavantajlı çocukların gelişimi için gönüllü çalışmalarda bulunuyorum.",,Evet,"Şubat 2022'de çevreci bir etki girişimi olan ""Köstebek""te partner ve iş geliştirme stajyeri olarak çalışmaya başladım. Henüz yeni kurulan ancak sektörde kendine yer edinmiş bir girişimde çalışmak, girişim ekosistemini tanımamı ve girişimlerde ne gibi sorunlarla karşılaşılabileceğini ve bunları aşmanın yollarını öğrenmemi sağladı. Girişimlerde fikrin önemi çok olsa da gerektiğinde bu fikirlerde değişikliğe gidebilme becerisi ve cesaretinin kazanılmasının bir girişim veya girişimcinin başarısı için çok değerli olduğuna inanıyorum. Örneğin stajım esnasında pazarda yeni ortaya çıkan ihtiyaçtan ötürü odağımızı şahıslardan firmalara birkaç gün içinde çevirmemiz gerekmişti. Köstebek dışında, yürütmekte olduğum gönüllülük projesi ""Aynı Dili Konuşalım""ı bir sosyal girişim haline getirmeyi hedefliyorum ve bu yönde adımlar atmaya başladık. Bu adımların başında güçlü iş birlikleriyle projemizin daha resmi bir boyut kazanması ve bunun neticesinde yaratılmakta olan faydanın artırılması bulunuyor.",Evet,,,57524
2022,64.0,Kadın,14.02.2001 00:00,Kocaeli,Ankara,Ankara Üniversitesi,Devlet,,Hayır,Diş Hekimliği,3,3.50 - 4.00,,Ankara Gazi Anadolu Lisesi,,Ankara,Devlet,Sayısal,,75 - 100,Hayır,-,-,Lise,Hayır,-,Üniversite,Evet,Kamu,1.0,Evet,,Evet,Bireysel,Evet,Üniversite içi kermes ve liseli arkadaşlarımıza fakülteyi gezdirme gibi küçük çaplı gönüllülük faaliyetlerinde bulunuyorum. Umarım daha geniş kitlelere ulaşma imkanı bulurum.,,Evet,"Bu sene YetGen’e girmemin kendi adıma yapacağım girişimlerin temelini attığını belirterek aslında tabiri caizse bizimki gibi “dinazor zihniyetli” bir fakültede yirmi kişiden oluşan, hem fakültemiz hem üniversitemiz adına yaptığımız her yeni ve farklı kongre ,etkinlik ve podcast türü işlerin bir girişim olduğunu düşünüyorum. Kişisel olarak çoğu zaman iyi işler yapmak için “mükemmel zaman”ı bekleme dürtüsüne sahip biriydim ve dinlemeyi bu süreçte çok deneyimledim. Fakat artık kervan yolda da düzülür diyerek mükemmel olmayı, şimdiye kadar çokça girişimde bulunmuş olmayı beklemek istemiyorum. Bunları yapabilme yolunda yol haritalarına ihtiyacım olduğunu kendimdeki fazlalıklardan kurtulup Michelangelo’nun heykelleri için dediği gibi “ben sadece fazlalıklardan kurtuldum bu canlılıklar heykelin içindeydi” demek istiyorum.",Evet,,,57525
