Basvuru Yili,Degerlendirme Puani,Cinsiyet,Universite Adi,Universite Turu,Burs Aliyor mu?,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Turu,Lise Bolumu,Baska Bir Kurumdan Burs Aliyor mu?,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Aktif olarak bir STK üyesi misiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Ingilizce Biliyor musunuz?
2022,62.0,2,89,1,0,24,4,4,0.0,1,2,0,3,0,0,4,1,3,1.0,1,1,1,0.0,1,1
2022,62.0,2,24,2,1,25,2,4,0.0,1,1,1,3,0,0,3,0,0,1.0,1,1,1,0.0,1,1
2022,62.0,2,81,1,0,9,2,4,0.0,1,2,1,1,0,0,1,1,1,4.0,1,1,1,0.0,1,1
2022,62.0,1,66,1,0,26,3,4,0.0,1,0,1,4,0,1,5,1,2,1.0,1,1,1,0.0,1,1
2022,62.0,1,141,1,0,23,4,5,0.0,1,2,0,1,1,3,3,1,3,1.0,1,1,1,0.0,1,1
2022,62.0,2,1,2,1,12,2,4,0.0,1,0,0,4,1,2,4,1,2,2.0,1,1,1,0.0,1,1
2022,62.0,1,234,1,0,27,3,5,0.0,1,1,0,2,0,0,2,1,1,1.0,0,1,1,0.0,1,1
2022,62.0,2,25,2,1,28,4,4,0.0,1,2,1,1,0,0,1,0,0,2.0,1,1,1,0.0,1,1
2022,62.0,2,66,1,0,21,3,4,0.0,0,2,1,3,0,0,4,1,1,1.0,1,1,1,0.0,1,1
2022,62.0,1,66,1,0,29,4,5,0.0,0,0,0,3,0,0,3,1,3,1.0,1,1,1,0.0,1,1
2022,62.0,1,66,1,0,12,2,4,0.0,1,0,0,4,1,2,4,0,0,0.0,1,1,1,0.0,1,1
2022,62.0,1,175,2,1,3,4,5,0.0,1,2,1,3,1,3,1,1,3,2.0,1,1,1,0.0,1,1
2022,62.0,1,189,1,0,21,4,5,0.0,1,2,0,2,0,0,2,0,0,1.0,1,1,1,0.0,1,1
2022,62.0,1,142,1,0,2,4,3,0.0,0,0,1,4,1,2,6,0,0,1.0,1,1,1,0.0,1,1
2022,62.0,1,96,1,0,9,2,4,0.0,0,2,0,4,1,2,4,1,2,2.0,1,1,1,0.0,1,1
2022,62.0,1,18,2,1,30,0,4,0.0,0,2,0,3,0,0,5,1,1,1.0,1,1,1,0.0,1,1
2022,62.0,2,81,1,0,8,3,4,0.0,1,0,1,1,0,0,1,0,0,1.0,1,1,1,0.0,1,1
2022,62.0,2,70,1,0,31,3,4,0.0,1,2,0,4,1,2,4,1,2,0.0,1,1,1,0.0,1,1
2022,62.0,2,95,1,0,8,3,4,0.0,1,0,0,2,0,0,4,1,2,1.0,1,1,1,0.0,1,1
2022,62.0,1,66,1,0,12,4,4,0.0,1,0,0,4,1,2,4,1,3,1.0,1,1,1,0.0,1,1
2022,62.0,1,61,2,1,32,2,4,0.0,1,1,1,2,1,3,3,0,0,0.0,1,1,1,0.0,1,1
2022,61.0,1,78,1,0,33,4,5,0.0,1,0,0,3,1,2,4,0,0,1.0,1,1,1,0.0,1,1
2022,61.0,1,78,1,0,8,4,4,0.0,0,0,1,1,1,3,1,1,3,2.0,1,1,1,0.0,1,1
2022,61.0,1,66,1,0,34,5,4,0.0,0,2,0,4,0,0,4,1,2,2.0,1,1,1,0.0,1,1
2022,61.0,1,64,1,0,8,3,4,0.0,0,0,0,1,1,3,3,0,0,2.0,1,1,1,0.0,1,1
2022,61.0,2,121,1,0,3,3,4,0.0,0,2,0,4,1,2,4,1,2,1.0,1,1,1,0.0,1,1
2022,61.0,2,66,1,0,29,2,4,0.0,1,0,0,1,0,0,1,0,0,1.0,1,1,1,0.0,1,1
2022,61.0,1,66,1,0,35,2,3,0.0,0,0,0,4,1,2,4,0,0,1.0,1,1,1,0.0,1,1
2022,61.0,2,142,1,0,21,4,4,0.0,0,2,0,6,1,2,4,1,2,0.0,1,1,1,0.0,1,1
2022,61.0,1,70,1,0,28,4,5,0.0,0,2,1,4,1,2,4,1,2,2.0,1,1,1,0.0,1,1
2022,61.0,1,89,1,0,36,3,3,0.0,0,2,1,4,0,0,4,1,2,1.0,1,1,1,0.0,1,1
2022,61.0,2,66,1,0,37,4,4,0.0,1,2,1,4,0,0,4,1,3,1.0,1,1,1,0.0,1,1
2022,61.0,1,234,1,0,9,4,4,0.0,1,2,0,0,0,0,1,1,2,2.0,1,1,1,0.0,1,1
2022,61.0,2,66,1,0,12,3,4,0.0,1,0,0,4,1,2,5,1,2,1.0,1,1,1,0.0,1,1
2022,61.0,2,8,2,1,9,3,5,0.0,1,2,1,4,0,0,4,1,2,2.0,0,1,1,0.0,1,1
2022,61.0,2,166,1,0,6,4,4,0.0,1,3,1,4,0,0,3,0,0,1.0,1,1,1,0.0,1,1
2022,61.0,2,98,1,0,38,2,4,0.0,0,1,1,2,1,1,2,0,0,1.0,1,1,1,0.0,1,1
2022,61.0,2,97,1,0,9,2,4,0.0,0,2,0,5,1,3,3,1,3,1.0,1,1,1,0.0,1,1
2022,61.0,2,89,1,0,17,2,4,0.0,1,2,1,3,0,0,2,1,3,1.0,1,1,1,0.0,1,1
2022,61.0,2,118,1,0,9,2,4,0.0,1,2,1,3,0,0,4,1,2,2.0,1,1,1,0.0,1,1
2022,61.0,2,96,1,0,8,2,4,0.0,1,0,1,1,0,0,1,1,3,1.0,1,1,1,0.0,1,1
2022,61.0,1,89,1,0,21,2,5,0.0,0,2,0,4,1,3,4,1,3,1.0,1,1,1,0.0,0,1
2022,61.0,2,81,1,0,11,2,4,0.0,1,0,1,2,0,0,4,1,1,2.0,1,1,1,0.0,1,1
2022,61.0,2,31,2,1,39,2,3,0.0,0,0,0,6,1,2,6,1,2,1.0,1,1,1,0.0,1,1
2022,61.0,1,81,1,0,8,4,3,0.0,1,0,1,3,1,3,4,1,2,2.0,1,1,1,0.0,1,1
2022,61.0,1,175,1,0,3,4,5,0.0,0,2,0,3,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,61.0,1,103,1,0,19,2,3,0.0,1,3,0,2,0,0,3,1,2,1.0,1,1,1,0.0,1,1
2022,61.0,2,1,2,0,21,4,4,0.0,0,2,0,4,1,2,5,0,0,0.0,1,1,1,0.0,1,1
2022,61.0,2,24,2,1,21,3,4,0.0,0,2,0,4,1,2,4,1,1,1.0,1,1,1,0.0,1,1
2022,61.0,2,213,1,0,21,3,5,0.0,1,2,0,4,0,0,4,1,3,1.0,1,1,1,0.0,1,1
2022,61.0,1,1,2,1,40,2,5,0.0,0,0,1,4,1,2,4,1,2,0.0,1,1,1,0.0,0,1
2022,61.0,2,121,1,0,21,3,4,0.0,1,2,1,2,0,0,4,1,2,2.0,1,1,1,0.0,1,1
2022,61.0,2,66,1,0,37,4,4,0.0,1,2,0,5,1,2,4,0,1,1.0,1,1,1,0.0,1,1
2022,61.0,1,148,1,0,9,2,4,0.0,1,2,0,1,0,0,2,1,1,3.0,1,1,1,0.0,1,1
2022,61.0,2,66,1,0,34,3,4,0.0,1,2,0,4,0,0,4,0,0,2.0,1,1,1,0.0,1,1
2022,61.0,1,24,2,1,15,4,5,0.0,1,0,0,2,0,0,1,0,3,1.0,1,1,1,0.0,0,1
2022,61.0,2,66,1,0,37,3,4,0.0,0,2,0,5,0,0,5,1,3,1.0,1,1,1,0.0,1,1
2022,60.0,1,150,1,0,8,3,3,0.0,0,0,0,4,1,3,4,1,3,1.0,1,1,1,0.0,1,1
2022,60.0,2,91,1,0,9,3,4,0.0,1,2,1,3,0,0,4,1,2,2.0,1,1,1,0.0,1,1
2022,60.0,2,174,1,0,3,3,5,0.0,1,2,1,1,0,0,1,1,3,1.0,1,1,1,0.0,1,1
2022,60.0,1,89,1,0,5,1,3,0.0,1,0,0,2,0,0,3,1,3,3.0,1,1,1,0.0,1,1
2022,60.0,2,90,2,1,35,2,5,0.0,1,0,1,3,0,0,2,1,3,1.0,1,1,1,0.0,1,1
2022,60.0,2,39,2,1,9,6,4,0.0,0,2,0,3,0,0,3,1,3,2.0,1,1,1,0.0,1,1
2022,60.0,2,115,1,0,41,3,3,0.0,1,1,0,1,0,0,1,0,0,4.0,1,1,1,0.0,1,1
2022,60.0,1,89,1,0,12,3,5,0.0,0,0,0,4,1,2,4,0,0,0.0,1,1,1,0.0,0,1
2022,60.0,2,191,1,0,9,2,4,0.0,1,2,0,1,0,0,1,1,1,2.0,1,1,1,0.0,1,1
2022,60.0,2,176,1,0,16,3,4,0.0,1,2,0,0,0,0,2,0,0,4.0,1,1,1,0.0,1,0
2022,60.0,1,149,1,0,14,3,5,0.0,1,1,0,0,0,0,1,0,0,1.0,1,1,1,0.0,0,1
2022,60.0,2,98,1,0,8,4,4,0.0,1,0,0,3,0,0,3,0,0,1.0,1,1,1,0.0,1,1
2022,60.0,2,66,1,0,12,3,5,0.0,1,0,0,6,1,3,6,1,2,1.0,1,1,1,0.0,0,1
2022,60.0,1,142,1,0,42,2,3,0.0,1,1,1,3,0,0,4,1,2,1.0,1,1,1,0.0,1,1
2022,60.0,2,89,1,0,17,4,4,0.0,1,2,1,1,1,2,1,1,1,3.0,1,1,1,0.0,1,1
2022,60.0,2,207,1,0,9,6,4,0.0,1,2,0,3,0,0,3,1,2,1.0,1,1,1,0.0,1,1
2022,60.0,1,89,1,0,21,2,3,0.0,1,2,0,4,1,2,4,1,2,1.0,1,1,1,0.0,1,1
2022,60.0,2,142,1,0,8,3,3,0.0,1,0,1,1,1,3,3,0,0,2.0,1,1,1,0.0,1,1
2022,60.0,1,66,1,0,26,4,4,0.0,1,0,0,4,0,0,6,1,3,2.0,0,1,1,0.0,1,1
2022,60.0,2,140,1,0,3,3,4,0.0,1,2,0,2,0,0,4,0,0,2.0,1,1,1,0.0,1,1
2022,60.0,2,76,2,1,31,3,5,0.0,1,2,1,1,1,3,1,1,3,4.0,1,1,1,0.0,1,1
2022,60.0,1,154,1,0,21,2,5,0.0,1,2,1,1,1,1,3,1,1,1.0,1,1,1,0.0,1,1
2022,60.0,1,70,1,0,34,2,3,0.0,1,2,1,3,0,0,3,0,0,1.0,1,1,1,0.0,1,1
2022,60.0,2,54,2,1,8,3,3,0.0,1,0,1,1,1,3,1,0,0,3.0,1,1,1,0.0,1,1
2022,60.0,1,140,1,0,39,2,5,0.0,1,0,0,1,0,0,4,0,0,2.0,1,1,1,0.0,1,1
2022,60.0,1,64,1,0,43,2,4,0.0,0,3,1,4,1,1,4,1,1,0.0,1,1,1,0.0,0,1
2022,60.0,1,85,1,0,44,3,3,0.0,1,1,0,0,0,0,2,1,1,4.0,1,1,1,0.0,1,1
2022,60.0,1,97,1,0,9,2,3,0.0,1,2,0,4,0,0,4,1,2,1.0,1,1,1,0.0,1,1
2022,60.0,1,117,1,0,23,2,4,0.0,1,2,0,4,1,2,4,0,0,1.0,1,1,1,0.0,1,1
2022,60.0,2,137,2,1,3,3,5,0.0,0,2,0,3,0,0,4,1,3,2.0,1,1,1,0.0,1,1
2022,60.0,2,140,1,0,12,3,4,0.0,1,0,0,4,0,0,4,1,2,3.0,1,1,1,0.0,1,1
2022,60.0,2,122,1,0,14,3,4,0.0,1,1,0,0,0,0,3,1,1,4.0,1,1,1,0.0,1,1
2022,60.0,1,66,1,0,45,2,3,0.0,0,2,1,4,0,0,4,1,3,1.0,1,1,1,0.0,1,1
2022,60.0,2,72,1,0,9,3,3,0.0,1,2,0,1,0,0,2,0,0,4.0,1,1,1,0.0,1,1
2022,60.0,1,35,2,0,4,3,5,0.0,0,2,0,3,0,0,5,1,3,2.0,1,1,1,0.0,1,1
2022,60.0,2,66,1,0,37,2,4,0.0,0,2,0,4,1,2,4,1,3,1.0,1,1,1,0.0,1,1
2022,59.0,2,130,1,0,35,4,5,0.0,1,0,1,0,0,0,1,0,0,4.0,1,1,1,0.0,1,1
2022,59.0,2,66,1,0,40,2,3,0.0,1,0,1,4,1,2,4,1,2,1.0,1,1,1,0.0,1,1
2022,59.0,2,89,1,0,3,3,3,0.0,1,2,0,2,1,3,1,1,3,0.0,1,1,1,0.0,1,1
2022,59.0,1,176,1,0,23,4,4,0.0,1,2,1,1,1,3,1,0,0,1.0,1,1,1,0.0,1,1
2022,59.0,1,97,1,0,21,3,4,0.0,0,2,0,4,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,59.0,1,66,1,0,35,4,4,0.0,0,0,0,4,1,3,4,1,3,1.0,0,1,1,0.0,1,1
2022,59.0,2,35,2,1,46,3,5,0.0,1,1,1,3,0,0,3,0,0,1.0,1,1,1,0.0,0,1
2022,59.0,1,66,1,0,11,4,4,0.0,1,0,0,4,1,3,4,1,2,2.0,0,1,1,0.0,1,1
2022,59.0,2,176,1,0,9,3,3,0.0,0,2,1,3,0,0,3,1,3,3.0,1,1,1,0.0,1,1
2022,59.0,2,151,1,0,47,2,5,0.0,1,0,0,0,0,0,1,0,0,4.0,1,1,1,0.0,1,1
2022,59.0,1,174,1,0,4,3,4,0.0,1,2,0,4,1,2,5,1,2,1.0,1,1,1,0.0,1,1
2022,59.0,1,121,1,0,44,2,5,0.0,0,1,0,2,0,0,1,1,1,2.0,1,1,1,0.0,0,1
2022,59.0,1,107,1,0,47,4,5,0.0,1,0,0,3,0,0,2,0,0,4.0,1,1,1,0.0,1,0
2022,59.0,1,22,2,1,0,3,2,0.0,1,0,0,2,0,0,1,0,0,2.0,1,1,1,0.0,1,1
2022,59.0,1,6,2,1,48,3,4,0.0,1,2,0,0,0,0,2,1,1,4.0,1,1,1,0.0,1,1
2022,59.0,2,125,1,0,49,3,3,0.0,1,3,1,2,0,0,3,1,1,4.0,1,1,1,0.0,1,1
2022,59.0,1,81,1,0,11,2,5,0.0,0,0,0,3,1,2,1,1,1,1.0,1,1,1,0.0,1,1
2022,59.0,1,1,2,1,50,4,4,0.0,1,0,1,2,0,0,4,1,2,1.0,1,1,1,0.0,1,1
2022,59.0,2,81,1,0,8,3,3,0.0,1,0,1,3,0,0,3,0,0,2.0,1,1,1,0.0,1,1
2022,59.0,2,86,1,0,9,2,3,0.0,1,2,1,1,0,0,3,0,0,2.0,1,1,1,0.0,1,1
2022,59.0,2,107,1,0,9,2,4,0.0,1,2,1,0,0,0,1,0,0,2.0,1,1,1,0.0,1,0
2022,59.0,1,121,1,0,51,2,4,0.0,1,2,1,1,0,0,3,1,3,1.0,1,1,1,0.0,1,1
2022,59.0,1,89,1,0,52,4,4,0.0,0,2,0,4,0,0,5,0,0,1.0,0,1,1,0.0,1,1
2022,59.0,1,184,2,1,53,3,5,0.0,1,1,1,4,1,2,4,1,2,1.0,0,1,1,0.0,0,1
2022,59.0,2,70,1,0,21,2,3,0.0,1,2,0,1,1,3,4,0,0,2.0,1,1,1,0.0,1,1
2022,59.0,1,81,1,0,12,3,5,0.0,0,0,0,4,1,2,4,1,2,2.0,1,1,1,0.0,1,1
2022,59.0,1,96,1,0,8,3,4,0.0,1,0,0,4,0,0,4,1,3,1.0,0,1,1,0.0,1,1
2022,59.0,2,162,1,0,12,1,5,0.0,1,0,0,1,0,0,1,0,0,0.0,1,1,1,0.0,0,1
2022,59.0,2,96,1,0,8,2,3,0.0,1,0,0,0,0,0,1,0,0,3.0,1,1,1,0.0,1,1
2022,59.0,2,35,2,0,9,5,3,0.0,1,2,0,3,0,0,4,1,3,1.0,1,1,1,0.0,1,1
2022,59.0,1,125,1,0,9,3,4,0.0,0,2,0,4,1,2,4,0,0,1.0,0,1,1,0.0,1,1
2022,59.0,1,179,1,0,54,3,5,0.0,0,2,0,2,1,3,3,0,3,1.0,1,1,1,0.0,1,1
2022,59.0,1,192,2,1,8,2,3,0.0,0,0,0,4,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,59.0,1,80,1,0,9,2,3,0.0,1,2,0,3,0,0,3,1,1,3.0,1,1,1,0.0,1,1
2022,59.0,1,145,1,0,23,3,4,0.0,1,2,1,4,0,0,4,1,2,1.0,1,1,1,0.0,1,1
2022,59.0,1,141,1,0,23,5,4,0.0,0,2,0,3,0,0,4,1,2,2.0,1,1,1,0.0,1,1
2022,59.0,2,60,1,0,9,3,3,0.0,1,2,0,2,0,0,0,1,3,4.0,1,1,1,0.0,1,1
2022,59.0,2,121,1,0,55,3,5,0.0,1,2,1,2,0,0,2,1,3,4.0,1,1,1,0.0,1,1
2022,59.0,1,129,1,0,8,2,3,0.0,1,0,1,0,0,0,0,0,0,4.0,1,1,1,0.0,1,0
2022,59.0,2,89,1,0,52,2,3,0.0,0,2,0,5,0,0,5,1,3,1.0,1,1,1,0.0,1,1
2022,58.0,2,66,1,0,37,4,4,0.0,0,2,0,3,0,0,4,1,3,3.0,0,1,1,0.0,1,1
2022,58.0,1,66,1,0,12,2,4,0.0,1,0,1,3,0,0,3,0,0,1.0,1,1,1,0.0,0,1
2022,58.0,1,54,2,1,21,3,4,0.0,0,2,1,4,1,2,4,1,2,0.0,1,1,1,0.0,1,1
2022,58.0,2,76,2,1,56,4,4,0.0,0,2,0,4,1,2,4,1,3,1.0,1,1,1,0.0,1,1
2022,58.0,2,89,1,0,17,3,3,0.0,1,2,0,4,1,2,3,0,0,0.0,1,1,1,0.0,1,1
2022,58.0,1,15,2,1,21,2,2,0.0,1,2,0,4,0,0,4,0,3,1.0,1,1,1,0.0,1,1
2022,58.0,2,174,1,0,3,4,3,0.0,1,2,1,4,1,3,3,0,0,1.0,1,1,1,0.0,1,1
2022,58.0,2,89,1,0,17,4,3,0.0,0,2,0,4,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,58.0,1,66,1,0,29,3,4,0.0,1,0,0,3,0,0,3,1,2,2.0,1,1,1,0.0,0,1
2022,58.0,1,1,2,0,8,4,3,0.0,0,0,0,3,0,0,4,1,2,1.0,1,1,1,0.0,1,1
2022,58.0,2,121,1,0,40,2,4,0.0,1,0,0,3,1,3,1,0,0,0.0,1,1,1,0.0,1,1
2022,58.0,1,176,1,0,23,4,4,0.0,1,2,0,2,0,0,3,0,0,2.0,1,1,1,0.0,1,1
2022,58.0,1,132,1,0,57,2,4,0.0,1,2,0,0,0,0,0,0,0,4.0,1,1,1,0.0,0,1
2022,58.0,1,60,1,0,58,3,4,0.0,1,1,1,3,0,0,1,0,0,3.0,1,1,1,0.0,1,0
2022,58.0,1,6,2,1,23,2,4,0.0,1,2,0,3,0,0,3,0,0,1.0,1,1,1,0.0,1,1
2022,58.0,2,121,1,0,24,2,4,0.0,1,2,1,1,1,3,2,0,0,1.0,1,1,1,0.0,1,1
2022,58.0,1,160,1,0,6,2,4,0.0,1,3,1,2,0,0,2,0,0,4.0,1,1,1,0.0,0,1
2022,58.0,2,110,1,0,4,3,4,0.0,1,2,0,1,1,3,3,0,0,0.0,1,1,1,0.0,1,1
2022,58.0,1,89,1,0,34,4,3,0.0,1,2,0,3,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,58.0,1,61,2,1,8,3,4,0.0,0,0,0,4,1,3,3,1,3,1.0,1,1,1,0.0,1,1
2022,58.0,1,89,1,0,28,4,5,0.0,1,2,0,4,1,3,4,1,3,0.0,0,1,1,0.0,1,1
2022,58.0,2,129,1,0,9,3,3,0.0,1,2,1,1,0,0,3,1,2,3.0,1,1,1,0.0,1,1
2022,58.0,2,81,1,0,23,4,4,0.0,0,2,0,4,1,2,4,1,2,1.0,1,1,1,0.0,1,1
2022,58.0,1,89,1,0,21,2,2,0.0,1,2,0,1,0,0,3,1,3,3.0,1,1,1,0.0,1,1
2022,58.0,1,136,1,0,46,4,5,0.0,0,1,1,3,1,3,1,0,0,0.0,0,1,1,0.0,1,1
2022,58.0,2,31,2,1,12,3,2,0.0,1,2,0,4,1,2,4,1,1,0.0,1,1,1,0.0,1,1
2022,58.0,1,89,1,0,59,3,4,0.0,0,2,0,4,1,2,4,1,2,0.0,1,1,1,0.0,1,1
2022,58.0,1,142,1,0,60,2,4,0.0,1,0,0,4,1,2,4,1,2,2.0,0,1,1,0.0,1,1
2022,58.0,1,97,1,0,21,3,4,0.0,1,2,0,1,1,3,3,1,3,0.0,1,1,1,0.0,1,1
2022,58.0,1,31,2,1,61,3,4,0.0,1,2,0,4,0,0,4,1,2,0.0,1,1,1,0.0,0,1
2022,58.0,2,66,1,0,40,2,4,0.0,0,0,0,4,0,0,4,1,3,1.0,1,1,1,0.0,0,1
2022,58.0,2,66,1,0,34,2,2,0.0,0,2,0,5,1,2,4,1,2,1.0,1,1,1,0.0,1,1
2022,58.0,1,70,1,0,5,2,2,0.0,0,0,0,4,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,58.0,2,127,1,0,9,5,3,0.0,1,2,1,2,0,0,3,1,3,1.0,1,1,1,0.0,1,1
2022,58.0,1,132,1,0,57,3,4,0.0,1,2,0,3,0,0,6,1,1,4.0,0,1,1,0.0,1,1
2022,58.0,2,139,1,0,12,3,4,0.0,1,0,1,3,0,0,4,1,1,2.0,1,1,1,0.0,1,1
2022,58.0,0,35,2,1,15,3,4,0.0,0,0,0,4,1,2,4,1,3,1.0,1,1,1,0.0,1,1
2022,58.0,1,98,1,0,62,3,4,0.0,1,2,1,2,0,0,3,1,3,1.0,1,1,1,0.0,1,1
2022,58.0,2,89,1,0,52,3,4,0.0,1,2,1,1,0,0,1,1,3,3.0,0,1,1,0.0,1,1
