iter	RMSE
237	5.383682933
238	5.382536528
239	5.380051527
240	5.378474664
241	5.376419256
242	5.374028485
243	5.371814089
244	5.370173332
245	5.367760359
246	5.365384836
247	5.364298384
248	5.36312498
249	5.361836056
250	5.359616908
251	5.357647682
252	5.356435593
253	5.354432029
254	5.352341535
255	5.349762017
256	5.347931138
257	5.34597779
258	5.344338482
259	5.342233064
260	5.340668921
261	5.339569839
262	5.338142099
263	5.335896978
264	5.332781233
265	5.331073518
266	5.328916593
267	5.326215914
268	5.323887009
269	5.323036917
270	5.320762375
271	5.318905193
272	5.316451142
273	5.314988053
274	5.312960511
275	5.310693716
276	5.309041854
277	5.306322295
278	5.303589611
279	5.301723183
280	5.300151974
281	5.298146153
282	5.295023628
283	5.292898645
284	5.290846971
285	5.289018555
286	5.286511862
287	5.28468094
288	5.282238798
289	5.280709482
290	5.278668936
291	5.276920389
292	5.275342071
293	5.273160453
294	5.271578705
295	5.27043249
296	5.268475752
297	5.266947379
298	5.265429157
299	5.262734531
300	5.260496707
301	5.259596092
302	5.257053877
303	5.256241186
304	5.255414835
305	5.252835116
306	5.251270527
307	5.250022621
308	5.248136702
309	5.245846613
310	5.244771332
311	5.243032506
312	5.24041668
313	5.238580684
314	5.236003381
315	5.234600389
316	5.233142416
317	5.230745075
318	5.228836849
319	5.227035941
320	5.225102986
321	5.223204646
322	5.22121021
323	5.21996518
324	5.218384512
325	5.216561679
326	5.214387979
327	5.212946495
328	5.211536726
329	5.210601499
330	5.208871034
331	5.206602428
332	5.20576531
333	5.204282672
334	5.203135325
335	5.201103591
336	5.199669519
337	5.198241091
338	5.195566927
339	5.194130702
340	5.19247666
341	5.191021669
342	5.189347902
343	5.188496948
344	5.18651815
345	5.185431073
346	5.183590173
347	5.182484519
348	5.18093726
349	5.179413069
350	5.178064353
351	5.176496175
352	5.174836613
353	5.173320724
354	5.171867324
355	5.170464144
356	5.168970369
357	5.16789589
358	5.166698641
359	5.164715069
360	5.16349414
361	5.162443673
362	5.161016143
363	5.15997827
364	5.158391616
365	5.156837121
366	5.156076249
367	5.154294008
368	5.153275658
369	5.151992642
370	5.15040759
371	5.148878146
372	5.14783654
373	5.146146778
374	5.144828676
375	5.143150003
376	5.141905834
377	5.140214105
378	5.138748963
379	5.13650193
380	5.134384305
381	5.132752404
382	5.131778353
383	5.131039596
384	5.128969334
385	5.127082147
386	5.125477257
387	5.124889389
388	5.122783268
389	5.122027738
390	5.120250893
391	5.119300947
392	5.117035379
393	5.116220815
394	5.11535435
395	5.113772199
396	5.112617706
397	5.111561677
398	5.109899802
399	5.107660408
400	5.105409067
401	5.104681234
402	5.102462167
403	5.101522092
404	5.099672318
405	5.098481595
406	5.097453084
407	5.096132741
408	5.094896709
409	5.093490887
410	5.091978679
411	5.090891862
412	5.088933791
413	5.087229504
414	5.086198157
415	5.085576611
416	5.084087785
417	5.082561693
418	5.0804501
419	5.079629508
420	5.079317743
421	5.078237788
422	5.076825359
423	5.075895373
424	5.074911988
425	5.074451286
426	5.073298028
427	5.072095487
428	5.070564707
429	5.06795139
430	5.066766764
431	5.065477268
432	5.064119409
433	5.062836469
434	5.061825943
435	5.060275077
436	5.059210041
437	5.05784653
438	5.056631998
439	5.055616351
440	5.053562171
441	5.051545838
442	5.050901718
443	5.049192273
444	5.047503653
445	5.045962402
446	5.044615715
447	5.043836342
448	5.041695514
449	5.040919788
450	5.039368394
451	5.038136169
452	5.036396709
453	5.035100434
454	5.033175003
455	5.032283322
456	5.030917417
457	5.029362656
458	5.028396428
459	5.027014082
460	5.025460214
461	5.024180356
462	5.022663676
463	5.020422941
464	5.018864448
465	5.017473871
466	5.015798024
467	5.013890378
468	5.012060286
469	5.009928071
470	5.007634972
471	5.006404047
472	5.005396333
473	5.004201684
474	5.002939456
475	5.001401295
476	4.99952973
477	4.998733807
478	4.997988893
479	4.996598227
480	4.995337779
481	4.993981124
482	4.992662878
483	4.991016082
484	4.989359514
485	4.988138519
486	4.987275531
487	4.985955708
488	4.984784934
489	4.983763179
490	4.982913547
491	4.98128646
492	4.980997018
493	4.979782577
494	4.978890395
495	4.977695321
496	4.976043335
497	4.975347133
498	4.974212157
499	4.972778971
500	4.971045817
501	4.969528263
502	4.968843491
503	4.967921289
504	4.966260524
505	4.965210479
506	4.963441319
507	4.962058062
508	4.960350293
509	4.958976908
510	4.957818299
511	4.956990517
512	4.955359078
513	4.954706534
514	4.953100847
515	4.951975499
516	4.951415983
517	4.950298547
518	4.949220159
519	4.947892981
520	4.946155548
521	4.944898321
522	4.944018938
523	4.943601317
524	4.941795556
525	4.940709495
526	4.939766015
527	4.937854305
528	4.936605384
529	4.935041278
530	4.933800959
531	4.932003755
532	4.931278625
533	4.929964499
534	4.929406913
535	4.927227977
536	4.926177812
537	4.925198282
538	4.924534363
539	4.922897533
540	4.920991413
541	4.920058768
542	4.918520218
543	4.916877431
544	4.915603578
545	4.914073532
546	4.912618767
547	4.911762888
548	4.910970287
549	4.909572752
550	4.907761435
551	4.906636702
552	4.905125365
553	4.904249083
554	4.90351794
555	4.902044489
556	4.900518085
557	4.899326354
558	4.898325906
559	4.897612631
560	4.895694696
561	4.894791612
562	4.893154012
563	4.892545754
564	4.891534214
565	4.889723103
566	4.888496384
567	4.887365733
568	4.886389603
569	4.885253708
570	4.884124188
571	4.883482384
572	4.88274139
573	4.88135759
574	4.880217289
575	4.878966284
576	4.878071529
577	4.876856858
578	4.876214827
579	4.874964299
580	4.87356814
581	4.872348008
582	4.871658808
583	4.870556245
584	4.869467653
585	4.868019314
586	4.867539005
587	4.86612894
588	4.864730737
589	4.863052941
590	4.861627163
591	4.860861469
592	4.859982093
593	4.859280173
594	4.858733146
595	4.857214932
596	4.85653713
597	4.8554048
598	4.853879494
599	4.852730309
600	4.851452009
601	4.850371465
602	4.849704587
603	4.848624317
604	4.84736353
605	4.846208909
606	4.844463918
607	4.843946171
608	4.84306601
609	4.84198474
610	4.841009794
611	4.840092188
612	4.839452452
613	4.838963082
614	4.837878331
615	4.836494152
616	4.835588052
617	4.834394825
618	4.833331624
619	4.83169871
620	4.83056815
621	4.830170791
622	4.828487186
623	4.827683378
624	4.826145034
625	4.825365054
626	4.823915555
627	4.823102377
628	4.821599008
629	4.820541988
630	4.819439889
631	4.818659306
632	4.818196808
633	4.816976012
634	4.816301183
635	4.815408502
636	4.813761057
637	4.812552946
638	4.811840674
639	4.810564917
640	4.809728224
641	4.808754771
642	4.808031928
643	4.807543106
644	4.806496355
645	4.805651561
646	4.804593855
647	4.803424644
648	4.802075009
649	4.801042694
650	4.799643583
651	4.798463937
652	4.797575755
653	4.796545428
654	4.795152371
655	4.794587342
656	4.793874515
657	4.793112753
658	4.792055419
659	4.791124497
660	4.789972539
661	4.78958845
662	4.788563192
663	4.787250527
664	4.786521664
665	4.78472535
666	4.783433729
667	4.782505234
668	4.78160073
669	4.780730608
670	4.77962122
671	4.778264232
672	4.777607641
673	4.775719945
674	4.774704115
675	4.773381735
676	4.77196758
677	4.771347707
678	4.770233983
679	4.768308103
680	4.76763048
681	4.766660302
682	4.765947504
683	4.764950145
684	4.763505735
685	4.762822192
686	4.76192237
687	4.760811743
688	4.758854021
689	4.758007401
690	4.756558186
691	4.75511256
692	4.753461069
693	4.75129609
694	4.749832685
695	4.748646241
696	4.748268054
697	4.747536502
698	4.746533931
699	4.744492679
700	4.744098841
701	4.742771712
702	4.742315181
703	4.740370875
704	4.739516788
705	4.738519847
706	4.736918851
707	4.735630258
708	4.734623263
709	4.733186776
710	4.731542372
711	4.730292638
712	4.729260754
713	4.728671806
714	4.727846204
715	4.725771311
716	4.724475559
717	4.723706162
718	4.722592902
719	4.721730138
720	4.720436206
721	4.719601831
722	4.718799535
723	4.717195934
724	4.716548767
725	4.715774896
726	4.71455913
727	4.713012548
728	4.712675816
729	4.711506884
730	4.710737913
731	4.710350024
732	4.709053865
733	4.707932065
734	4.706620112
735	4.705146641
736	4.70449643
737	4.703562579
738	4.703127858
739	4.702244134
740	4.701651533
741	4.700452755
742	4.699818834
743	4.698798995
744	4.697822914
745	4.696857021
746	4.695476711
747	4.695094767
748	4.694381056
749	4.692514532
750	4.691589393
751	4.690730489
752	4.689869559
753	4.688849833
754	4.687936707
755	4.687063924
756	4.685817048
757	4.684519197
758	4.68403635
759	4.683149356
760	4.682289576
761	4.681923753
762	4.681180385
763	4.680124012
764	4.679056911
765	4.678051773
766	4.677229204
767	4.676108669
768	4.674752179
769	4.673693931
770	4.672177536
771	4.671268197
772	4.670150358
773	4.668908262
774	4.668406143
775	4.667737993
776	4.666803224
777	4.665264011
778	4.663946466
779	4.663588942
780	4.662734153
781	4.662219643
782	4.661395301
783	4.659687189
784	4.659174724
785	4.658310137
786	4.656633858
787	4.65535354
788	4.654993956
789	4.654051978
790	4.653144823
791	4.652171327
792	4.651001837
793	4.650550891
794	4.649487768
795	4.649076112
796	4.648738887
797	4.647383748
798	4.646508929
799	4.645854851
800	4.64513912
801	4.643867928
802	4.642674527
803	4.64186815
804	4.64106365
805	4.640072101
806	4.639508142
807	4.638562936
808	4.637965762
809	4.636868754
810	4.634996655
811	4.633950555
812	4.632357388
813	4.632153989
814	4.631258017
815	4.630519456
816	4.629559394
817	4.628575315
818	4.626976346
819	4.626564744
820	4.625776184
821	4.625182389
822	4.623859282
823	4.622858772
824	4.622385642
825	4.6217574
826	4.620801812
827	4.619198339
828	4.618511197
829	4.617367525
830	4.616744425
831	4.615656721
832	4.615053628
833	4.614616823
834	4.613824747
835	4.612437674
836	4.611786225
837	4.610325797
838	4.609396102
839	4.608682279
840	4.607281296
841	4.606169799
842	4.605044435
843	4.604307282
844	4.603976581
845	4.603299524
846	4.602200086
847	4.601160213
848	4.599965713
849	4.598784476
850	4.597674795
851	4.596755497
852	4.595812522
853	4.594837484
854	4.593339831
855	4.592473063
856	4.591572674
857	4.591347009
858	4.590401633
859	4.589608305
860	4.588923447
861	4.588331227
862	4.587575124
863	4.58681255
864	4.585830747
865	4.585147049
866	4.58410554
867	4.582557898
868	4.581585034
869	4.580659634
870	4.580189171
871	4.579796347
872	4.578642582
873	4.57730858
874	4.576765117
875	4.575411506
876	4.574892074
877	4.574306163
878	4.573504836
879	4.572786998
880	4.57182801
881	4.570882678
882	4.570350023
883	4.568770883
884	4.567811575
885	4.566322586
886	4.565292933
887	4.564594225
888	4.563835896
889	4.563432487
890	4.562354597
891	4.562015244
892	4.561043693
893	4.560068258
894	4.558925291
895	4.558333325
896	4.55761075
897	4.557080002
898	4.556166048
899	4.55579907
900	4.554981902
901	4.554146548
902	4.553786472
903	4.55288166
904	4.551829782
905	4.551168609
906	4.550231276
907	4.549548394
908	4.549126527
909	4.548464926
910	4.547359588
911	4.546376017
912	4.545592305
913	4.544875716
914	4.54400631
915	4.543100018
916	4.541716779
917	4.540897341
918	4.539834536
919	4.539310559
920	4.538073621
921	4.53727822
922	4.5365428
923	4.535592547
924	4.534047481
925	4.532713551
926	4.531742907
927	4.531346634
928	4.530334241
929	4.529564158
930	4.52902952
931	4.528093096
932	4.52744223
933	4.52659261
934	4.525680146
935	4.524408368
936	4.523564609
937	4.522455422
938	4.521246529
939	4.519668831
940	4.518728925
941	4.517442633
942	4.51671945
943	4.515397908
944	4.514602235
945	4.513482702
946	4.512768866
947	4.512247764
948	4.511403357
949	4.510356417
950	4.509494609
951	4.508947369
952	4.508516083
953	4.507668989
954	4.506740256
955	4.50554664
956	4.504806037
957	4.504185769
958	4.503808365
959	4.502738951
960	4.501553167
961	4.500763714
962	4.499351019
963	4.498328775
964	4.497716166
965	4.49705437
966	4.496199905
967	4.495620996
968	4.494628486
969	4.493476057
970	4.492471053
971	4.491831352
972	4.491502658
973	4.490331131
974	4.48965568
975	4.489172772
976	4.487991565
977	4.487521652
978	4.48668804
979	4.485917389
980	4.484739206
981	4.483187436
982	4.482185843
983	4.481142537
984	4.480380057
985	4.479045199
986	4.478181187
987	4.477012263
988	4.475587443
989	4.475103227
990	4.474707465
991	4.474052876
992	4.473605853
993	4.473002435
994	4.472243116
995	4.47097487
996	4.470325196
997	4.469369793
998	4.467759422
999	4.467062731
