iter	Passed	Remaining
338	519	1013
339	520	1010
340	521	1008
341	523	1006
342	524	1004
343	525	1002
344	526	1000
345	528	998
346	529	996
347	530	993
348	531	991
349	532	989
350	534	987
351	535	985
352	536	983
353	538	982
354	539	979
355	540	978
356	541	976
357	543	973
358	544	971
359	545	969
360	546	967
361	547	965
362	548	963
363	550	961
364	551	959
365	552	957
366	553	955
367	555	953
368	556	951
369	557	949
370	558	947
371	559	945
372	561	943
373	562	941
374	563	939
375	564	937
376	566	935
377	567	933
378	568	931
379	570	930
380	571	928
381	572	926
382	574	924
383	575	923
384	576	921
385	578	919
386	579	918
387	580	916
388	582	914
389	583	912
390	585	911
391	587	910
392	588	909
393	590	908
394	592	906
395	593	905
396	594	903
397	596	902
398	598	901
399	599	899
400	601	898
401	602	896
402	603	894
403	605	892
404	606	890
405	607	889
406	609	887
407	610	885
408	611	884
409	613	882
410	614	880
411	615	878
412	616	876
413	618	875
414	620	874
415	621	872
416	622	870
417	624	868
418	625	867
419	626	865
420	627	863
421	629	862
422	631	861
423	632	859
424	634	858
425	636	856
426	637	855
427	638	853
428	640	852
429	641	850
430	643	849
431	644	847
432	645	845
433	647	844
434	649	843
435	650	841
436	652	840
437	653	838
438	655	837
439	656	835
440	657	833
441	659	832
442	660	830
443	662	829
444	663	827
445	665	826
446	666	824
447	668	823
448	669	821
449	671	820
450	672	818
451	673	816
452	675	815
453	677	814
454	678	812
455	680	811
456	681	809
457	682	807
458	683	806
459	685	804
460	686	802
461	687	801
462	689	799
463	690	797
464	691	795
465	692	793
466	694	792
467	695	790
468	696	788
469	697	787
470	699	785
471	700	783
472	701	781
473	703	780
474	705	779
475	706	777
476	707	776
477	709	774
478	710	772
479	711	770
480	712	769
481	714	767
482	715	766
483	717	765
484	719	763
485	721	762
486	722	761
487	724	760
488	725	758
489	727	756
490	728	755
491	729	753
492	731	752
493	733	751
494	735	750
495	737	748
496	738	747
497	740	745
498	741	744
499	742	742
500	744	741
501	745	739
502	746	737
503	748	736
504	749	734
505	750	732
506	751	731
507	753	729
508	754	727
509	755	726
510	757	724
511	758	722
512	759	721
513	760	719
514	762	717
515	763	715
516	764	714
517	766	712
518	767	711
519	768	709
520	769	707
521	771	706
522	772	704
523	774	703
524	775	701
525	776	699
526	777	698
527	779	696
528	780	694
529	781	693
530	783	691
531	784	690
532	786	688
533	787	687
534	788	685
535	790	683
536	791	682
537	792	680
538	793	679
539	795	677
540	796	675
541	797	674
542	799	672
543	800	670
544	801	669
545	803	667
546	804	666
547	805	664
548	806	662
549	807	661
550	809	659
551	810	657
552	812	656
553	813	655
554	815	653
555	816	652
556	818	650
557	819	649
558	821	648
559	823	647
560	824	645
561	826	643
562	827	642
563	829	641
564	830	639
565	832	638
566	833	636
567	834	634
568	836	633
569	837	631
570	838	630
571	839	628
572	840	626
573	842	625
574	843	623
575	845	622
576	846	620
577	847	618
578	849	617
579	850	615
580	851	614
581	852	612
582	853	610
583	855	609
584	856	607
585	858	606
586	859	605
587	861	603
588	862	601
589	863	600
590	865	598
591	866	597
592	867	595
593	869	594
594	870	592
595	871	590
596	873	589
597	874	587
598	875	586
599	876	584
600	878	582
601	879	581
602	880	579
603	882	578
604	883	577
605	885	575
606	886	573
607	887	572
608	888	570
609	890	569
610	891	567
611	892	565
612	893	564
613	895	562
614	896	561
615	897	559
616	898	557
617	900	556
618	901	554
619	902	553
620	904	551
621	905	550
622	906	548
623	908	547
624	909	545
625	911	544
626	913	543
627	914	541
628	915	540
629	916	538
630	918	537
631	919	535
632	920	533
633	922	532
634	923	530
635	924	529
636	926	527
637	927	526
638	928	524
639	930	523
640	931	521
641	932	520
642	934	518
643	936	517
644	937	515
645	938	514
646	939	512
647	941	511
648	942	509
649	943	508
650	944	506
651	946	504
652	947	503
653	948	501
654	950	500
655	951	498
656	952	497
657	954	495
658	955	494
659	956	492
660	958	491
661	959	490
662	961	488
663	962	487
664	964	485
665	965	484
666	966	482
667	968	481
668	969	479
669	970	478
670	971	476
671	973	475
672	974	473
673	975	472
674	977	470
675	978	468
676	979	467
677	981	465
678	982	464
679	983	462
680	984	461
681	986	459
682	987	458
683	989	457
684	990	455
685	992	454
686	993	452
687	994	451
688	996	449
689	998	448
690	999	446
691	1001	445
692	1002	444
693	1004	442
694	1005	441
695	1007	439
696	1008	438
697	1009	436
698	1010	435
699	1012	433
700	1013	432
701	1014	430
702	1015	429
703	1017	427
704	1018	426
705	1019	424
706	1021	423
707	1022	421
708	1024	420
709	1025	418
710	1026	417
711	1028	416
712	1030	414
713	1031	413
714	1033	411
715	1034	410
716	1035	408
717	1036	407
718	1038	405
719	1039	404
720	1040	402
721	1041	401
722	1043	399
723	1044	398
724	1046	396
725	1047	395
726	1048	393
727	1049	392
728	1051	390
729	1052	389
730	1053	387
731	1055	386
732	1056	384
733	1057	383
734	1059	381
735	1060	380
736	1061	378
737	1062	377
738	1064	375
739	1065	374
740	1067	373
741	1068	371
742	1069	370
743	1071	368
744	1072	367
745	1074	365
746	1076	364
747	1078	363
748	1080	361
749	1081	360
750	1082	359
751	1084	357
752	1085	356
753	1086	354
754	1087	353
755	1089	351
756	1090	350
757	1091	348
758	1092	346
759	1094	345
760	1095	343
761	1096	342
762	1097	341
763	1099	339
764	1100	338
765	1101	336
766	1103	335
767	1104	333
768	1105	332
769	1107	330
770	1108	329
771	1109	327
772	1110	326
773	1112	324
774	1113	323
775	1114	321
776	1116	320
777	1118	319
778	1120	317
779	1121	316
780	1122	314
781	1123	313
782	1125	311
783	1126	310
784	1127	308
785	1128	307
786	1129	305
787	1131	304
788	1132	302
789	1133	301
790	1135	299
791	1136	298
792	1137	296
793	1138	295
794	1140	294
795	1141	292
796	1142	291
797	1143	289
798	1144	288
799	1146	286
800	1147	285
801	1148	283
802	1150	282
803	1151	280
804	1152	279
805	1153	277
806	1155	276
807	1156	274
808	1158	273
809	1159	272
810	1161	270
811	1162	269
812	1164	267
813	1165	266
814	1167	264
815	1168	263
816	1170	262
817	1171	260
818	1173	259
819	1174	257
820	1176	256
821	1177	254
822	1178	253
823	1179	252
824	1181	250
825	1182	249
826	1183	247
827	1184	246
828	1186	244
829	1188	243
830	1189	241
831	1190	240
832	1192	238
833	1193	237
834	1194	236
835	1195	234
836	1197	233
837	1198	231
838	1199	230
839	1201	228
840	1202	227
841	1204	226
842	1206	224
843	1207	223
844	1209	221
845	1211	220
846	1212	219
847	1214	217
848	1215	216
849	1217	214
850	1219	213
851	1220	212
852	1222	210
853	1224	209
854	1225	207
855	1228	206
856	1229	205
857	1231	203
858	1232	202
859	1234	200
860	1235	199
861	1237	198
862	1238	196
863	1240	195
864	1241	193
865	1243	192
866	1245	190
867	1247	189
868	1248	188
869	1250	186
870	1251	185
871	1252	183
872	1253	182
873	1255	180
874	1256	179
875	1258	178
876	1259	176
877	1261	175
878	1263	173
879	1264	172
880	1265	170
881	1266	169
882	1267	167
883	1268	166
884	1270	165
885	1271	163
886	1272	162
887	1274	160
888	1275	159
889	1276	157
890	1278	156
891	1279	154
892	1280	153
893	1282	152
894	1283	150
895	1284	149
896	1285	147
897	1287	146
898	1288	144
899	1289	143
900	1290	141
901	1292	140
902	1293	138
903	1294	137
904	1295	136
905	1297	134
906	1298	133
907	1299	131
908	1300	130
909	1302	128
910	1303	127
911	1304	125
912	1305	124
913	1307	122
914	1308	121
915	1310	120
916	1311	118
917	1312	117
918	1314	115
919	1315	114
920	1317	112
921	1318	111
922	1319	110
923	1320	108
924	1322	107
925	1323	105
926	1325	104
927	1326	102
928	1327	101
929	1328	100
930	1330	98
931	1331	97
932	1332	95
933	1334	94
934	1335	92
935	1336	91
936	1337	89
937	1339	88
938	1340	87
939	1342	85
940	1343	84
941	1344	82
942	1345	81
943	1347	79
944	1348	78
945	1349	77
946	1351	75
947	1352	74
948	1353	72
949	1355	71
950	1356	69
951	1357	68
952	1358	67
953	1360	65
954	1361	64
955	1362	62
956	1364	61
957	1365	59
958	1366	58
959	1367	56
960	1369	55
961	1370	54
962	1371	52
963	1373	51
964	1374	49
965	1375	48
966	1376	46
967	1378	45
968	1379	44
969	1380	42
970	1382	41
971	1383	39
972	1385	38
973	1386	37
974	1389	35
975	1390	34
976	1391	32
977	1393	31
978	1394	29
979	1395	28
980	1396	27
981	1398	25
982	1399	24
983	1400	22
984	1402	21
985	1404	19
986	1406	18
987	1407	17
988	1408	15
989	1410	14
990	1412	12
991	1414	11
992	1415	9
993	1416	8
994	1417	7
995	1419	5
996	1420	4
997	1421	2
998	1423	1
999	1424	0
